Keyword,Frequency
antonov,99
boeing,80
de,49
havilland,49
otter,38
canada,36
twin,32
let,29
douglas,28
airbus,27
lockheed,23
cessna,23
hercules,22
300,20
ilyushin,20
fokker,19
bell,19
swearingen,17
tupolev,17
embraer,16
islander,16
mcdonnell,15
learjet,15
beechcraft,15
eurocopter,15
casa,14
sikorsky,14
mil,14
canadair,12
caravan,12
metro,11
iii,11
helicopter,11
208b,11
200,10
bae,10
aerospatiale,10
air,10
100,10
super,10
friendship,9
grand,9
410uvp,9
norman,9
atr,9
bandeirante,8
aerospace,8
ii,8
king,8
convair,8
shorts,7
aviocar,7
35a,7
piper,7
british,7
yunshuji,6
grumman,6
beaver,6
britten,6
black,6
hawk,6
yakovlev,5
rockwell,5
jetstream,5
navajo,5
gulfstream,5
beech,5
brasilia,5
407,5
dornier,5
8,5
citation,4
chinook,4
hawker,4
pilatus,4
212,4
12,4
puma,4
gaf,3
nomad,3
